translationId,zh-Hans,en,ja,remarks
index.return_game,返回游戏,Return to game,ゲームに戻る,
index.player,玩家,Player,プレーヤー,
index.get_price,获奖,Win prize,賞品を獲得する,
index.bet_num,投币 {num},Bet {num},賭け {num},
index.no_data,暂时没有记录,Currently no history,現在、記録はありません,
index.bet_record,投币记录,Betting history,賭けの記録,
index.round_title,No. {num},No. {num},No. {num},
index.price,中奖: 0,Prize{0},賞品{0},
index.price_num,中奖 {num},Prize {num},賞品 {num},
index.my_bet,我：{num},My: {num},私：{num},
index.dog_win,狗胜,Dog Win,犬が勝つ,
index.cat_win,猫胜,Cat Win,猫が勝つ,
index.draw,平局,Draw,ドロー,
index.fish_total,鱼总数：{num},Fishing amount:{num},釣り量：{num},
index.round_hash,本局哈希：{hash},Hash for this game:{hash},このゲームハッシュ：{hash},
index.hash_code,哈希值：{hash},Hash value:{hash},ゲームハッシュ：{hash},
index.copy,复制,Copy,コピー,
index.paste,粘贴,Paste,ペースト,
index.copy_success,复制成功,Copy Successful,コピーできた,
index.bet_title,我的投币,My bets,私の賭け,
index.settle,结算,Settlements,決済,
index.verify,验证,Verify,確認,
index.declare_verify,我们确保所有的数据都是公平的；你可以随时输入哈希 来查询对应的游戏结果（不包含投币返奖结果）,We guarantee that all data is fair; you can look up results by entering the corresponding hash value (This does not include the results of prizes returned from bets),すべてのデータが公正であることを保証します。 ハッシュ値を入力していつでもゲーム結果を確認できます（賭け後の賞金は含まれていません）,
index.setting_voice,音量设置,Volume setting,ボリュームセット,
index.music,音乐,Music,音楽,
index.sound,音效,Sound Effect,効果音,
index.play,开始游戏,Start game,ゲームをスタート,
index.view_trend,走势,Trend,傾向,
index.guess_winner,猜胜负,Guess Single,勝者を推測する,
index.guess_number,猜数字,Guess Number,数を推測する,
index.winner_subject,请选择您要支持的一方，为他加油吧！,"Chose the side you want to support, and cheer for them!",あなたがサポートしたい側を選んで、それを応援してください,
index.number_subject,请选择双方钓鱼总数或区间！,Please choose the total amount or interval of fishing for both sides,両側の合計釣り量の間隔を選択してください,
index.guide_tips_1,1. 选择币种,1.Choose currency,1.通貨を選択します,
index.guide_tips_2,2. 选择投币金额，投币给您认为会获胜的一方。,"2.Choose the amount you want to bet, and bet on the side who you think will win.",2.賭け金額を選択し、勝つと思う側に賭けます,
index.guide_tips_3,3. 若您投币的一方与获胜一方相同，您将获得对应奖励。,"3.If you place your bet on the winning side, you will receive certain prizes.",3.勝者側に賭けると、一定の賞金がもらえます,
index.tips_hash_code,哈希值输入错误，无法查询,"Hash value input error, unable to run query",ハッシュ値の入力が間違いないましたが、クエリできません,
index.tips_paste,长按粘贴,Long click paste,長押しして貼り付けます,
index.tips_net_timeout,网络链接错误,Network connection error,ネットワークに異常があります。もう一度お試しください,
index.error_1,很抱歉，服务器异常，您可以稍后刷新重试,"Sorry, there has been a server error, please refresh and try again",申し訳ありませんが、サーバーが異常です。更新して後で再試行できます,
index.error_31,房间维护中,Room is undergoing maintenance,部屋はメンテナンス中です,
index.error_32,未登录，请重新登录,"You are not logged in, please log in first.",まだログインしていませんので、まずはログインしてください。,
index.error_34_0,戏未开始，不能投币,"Game has not yet started, unable to place bet",ゲームが始まっていない、今は賭けられない,
index.error_34,投币已结束,Betting has ended,投入は終わりました,
index.error_36,押注金额超出上限,Amount of bet exceeded the maximum limit,ベット額が制限を超えています,
index.tips,提示,Reminder,プロンプト,
index.error_39,投币数量已达上限,The number of bets has reached the maximum limit,ベット数が上限に達しました,
index.msg_repeatedly_login,您的账号已在其他设备登录,You are already logged into your account on another device,アカウントはすでに別のデバイスにログインしています,
index.confirm,确定,Confirm,確認,
index.login,登录,Login,ログイン,
index.login_to_view,登录查看,Login to view,ログイン,
index.error_33,你的操作太频繁了,Operation done too frequently,あなたの操作はあまりにも頻繁です,
index.error_37,房间准备中，请稍后,"The room is not yet ready, please wait",部屋は準備中です、お待ちください,
index.no_search_data,无记录,No history,記録なし,
index.error_3,账户余额不足,Insufficient balance,残高不足です,
index.error_34_,戏未开始，不能投币,"Game has not yet started, unable to place bet",ゲームが始まっていない、今は投入できない,
index.trend_tab_1,胜负走势,Win-loss trend,勝負の趨勢,
index.trend_tab_2,总数走势,Total trend,総数の趨勢,
index.recently_recorded,显示最近50条记录,Display the most recent 50 records,最後の50レコードを表示する,